origin_id,LCODE_C1,LCODE_C2,LCODE_C3,C1_NAME,C2_NAME,C3_NAME,time_to_medical_min,time_to_shelter_min,medical_access_score_normal,shelter_access_score_normal,x_3826,y_3826,nearest_medical_id_Q1point1,time_to_medical_min_Q1point1,medical_access_score_Q1point1,nearest_shelter_id_Q1point1,time_to_shelter_min_Q1point1,shelter_access_score_Q1point1,nearest_medical_id_Q10,time_to_medical_min_Q10,medical_access_score_Q10,nearest_shelter_id_Q10,time_to_shelter_min_Q10,shelter_access_score_Q10,nearest_medical_id_Q25,time_to_medical_min_Q25,medical_access_score_Q25,nearest_shelter_id_Q25,time_to_shelter_min_Q25,shelter_access_score_Q25,nearest_medical_id_Q50,time_to_medical_min_Q50,medical_access_score_Q50,nearest_shelter_id_Q50,time_to_shelter_min_Q50,shelter_access_score_Q50,nearest_medical_id_Q100,time_to_medical_min_Q100,medical_access_score_Q100,nearest_shelter_id_Q100,time_to_shelter_min_Q100,shelter_access_score_Q100
0,05,0502,050201,建築使用土地,住宅,純住宅,6.543155251626234,1.9895806754169838,0.8909474124728961,0.9668403220763836,230085.07608961154,2433290.066155914,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
1,05,0502,050201,建築使用土地,住宅,純住宅,6.776515257588433,2.222940681379182,0.8870580790401927,0.9629509886436803,230085.64188461637,2433256.6076222435,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
2,05,0502,050201,建築使用土地,住宅,純住宅,6.903284135189977,2.349709558980726,0.8849452644135004,0.9608381740169879,230052.3099665907,2433175.7915303754,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
3,05,0502,050201,建築使用土地,住宅,純住宅,6.543155251626234,1.9895806754169838,0.8909474124728961,0.9668403220763836,230006.56264471824,2433383.232275008,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
4,05,0502,050201,建築使用土地,住宅,純住宅,7.090418304477992,2.5368437282687406,0.8818263615920334,0.957719271195521,229878.9656436837,2433308.7579300725,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
5,05,0502,050201,建築使用土地,住宅,純住宅,7.318542947865409,2.764968371656159,0.8780242842022432,0.9539171938057307,229752.81279180836,2433252.5844561993,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
6,05,0502,050201,建築使用土地,住宅,純住宅,7.125937866319016,2.5723632901097653,0.8812343688946831,0.9571272784981706,229740.30490303555,2433283.913383458,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
7,05,0502,050201,建築使用土地,住宅,純住宅,13.716594786938831,9.163020210729583,0.7713900868843528,0.8472829964878403,229581.04211326144,2431833.880760735,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
8,05,0502,050201,建築使用土地,住宅,純住宅,8.050927404027108,3.49735282781786,0.8658178765995482,0.9417107862030357,229553.18891161936,2433364.644186698,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
9,05,0502,050201,建築使用土地,住宅,純住宅,6.896343976929141,2.3427694007198894,0.8850609337178477,0.9609538433213352,230113.10078250276,2433197.2915310864,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
10,05,0502,050201,建築使用土地,住宅,純住宅,10.9256978176197,6.372123241410449,0.817905036373005,0.8937979459764925,229779.19846931283,2432261.866515877,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
11,05,0502,050201,建築使用土地,住宅,純住宅,13.716594786938831,9.163020210729583,0.7713900868843528,0.8472829964878403,229563.01523959846,2431810.5929510514,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
12,05,0502,050201,建築使用土地,住宅,純住宅,11.619180793086326,7.065606216877075,0.8063469867818945,0.8822398963853821,229478.79289107962,2432299.1663819295,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
13,05,0502,050201,建築使用土地,住宅,純住宅,11.619180793086326,7.065606216877075,0.8063469867818945,0.8822398963853821,229470.31046662538,2432206.3890560805,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
14,05,0502,050201,建築使用土地,住宅,純住宅,6.543155251626234,1.9895806754169838,0.8909474124728961,0.9668403220763836,230103.34073062456,2433324.103323564,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
15,05,0502,050201,建築使用土地,住宅,純住宅,7.201000481924194,2.647425905714944,0.8799833253012634,0.9558762349047509,230092.5016889247,2433104.47601584,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
16,05,0502,050201,建築使用土地,住宅,純住宅,6.776515257588433,2.222940681379182,0.8870580790401927,0.9629509886436803,230091.15783427647,2433233.758256333,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
